iter	RMSE
0	670.3807504
1	628.0366299
2	594.4447554
3	562.5589163
4	536.6242175
5	510.4955041
6	488.3347064
7	467.480167
8	449.8486631
9	433.8403683
10	422.2429986
11	409.8860562
12	399.4741849
13	391.329688
14	381.1293429
15	370.178727
16	365.2610054
17	358.4756527
18	353.3293628
19	348.2518312
20	344.2872679
21	340.335925
22	337.0020165
23	328.313234
24	322.5285204
25	318.6476773
26	315.5367312
27	312.2489474
28	308.9390407
29	305.5577904
30	302.6609006
31	300.344406
32	298.4278587
33	294.3759993
34	291.399483
35	289.9388373
36	286.1303679
37	284.2977255
38	282.4646596
39	281.1103705
40	279.8946504
41	277.5095048
42	276.5188319
43	275.7054045
44	272.6388952
45	268.9600507
46	266.5398842
47	265.3743198
48	264.9457983
49	262.7472181
50	261.6707584
51	261.3052095
52	260.598724
53	260.2641402
54	259.8586788
55	259.1458022
56	258.6766459
57	257.9163496
58	255.6201343
59	255.433242
60	253.5385904
61	252.4661586
62	251.322725
63	251.1530917
64	250.9362817
65	249.0735423
66	247.4760041
67	246.6133982
68	246.4712155
69	244.5746062
70	244.2656489
71	244.1335652
72	244.0131742
73	242.5439182
74	241.8327858
75	239.4617627
76	237.5555365
77	236.5816143
78	234.3685772
79	232.9275246
80	232.0902046
81	230.5963714
82	229.520905
83	229.0949584
84	228.6679418
85	228.6122445
86	227.6639968
87	227.5618653
88	227.1956556
89	226.7305327
90	225.9869839
91	225.8899398
92	223.8896084
93	222.1352381
94	222.0868733
95	221.4222337
96	221.3266054
97	220.258634
98	219.9403148
99	218.8884022
100	218.2121854
101	217.1968608
102	216.7726428
103	215.6440469
104	215.3006595
105	214.4747697
106	213.0918142
107	213.0582232
108	212.9598223
109	212.9246748
110	212.8956817
111	212.6139179
112	212.2010883
113	211.8331756
114	210.8945847
115	210.4874459
116	210.0960092
117	209.1205339
118	208.1256249
119	207.845431
120	207.8077163
121	207.6017028
122	207.289526
123	206.5051898
124	205.1934445
125	204.753664
126	204.6051747
127	204.2251424
128	203.9556641
129	203.7184575
130	202.8166622
131	202.4652573
132	201.9067923
133	201.8381432
134	201.3934234
135	201.2257412
136	201.1951273
137	200.961876
138	200.8899386
139	200.045998
140	199.6403769
141	199.295987
142	199.2600903
143	198.7140076
144	197.7077836
145	197.6847017
146	197.1812197
147	197.1486082
148	196.8690404
149	196.6575167
150	195.861536
151	195.8450327
152	194.9770364
153	194.5251629
154	194.3342245
155	194.0966683
156	193.9871082
157	193.814036
158	193.7365869
159	193.4714137
160	192.9030644
161	192.2155538
162	191.9182737
163	191.0704385
164	190.8972224
165	190.6828627
166	190.1250406
167	189.7062314
168	189.4931274
169	189.4439787
170	189.4248861
171	189.2420897
172	188.8938935
173	188.8834853
174	187.8942594
175	187.6701448
176	187.6524928
177	186.8772707
178	186.8570193
179	186.174869
180	185.4045793
181	184.7329982
182	183.9581837
183	183.8267348
184	183.0354492
185	182.9448174
186	182.3456227
187	181.6396806
188	181.1702491
189	180.4606232
190	180.4430723
191	180.3053077
192	180.0888969
193	179.3315914
194	178.7756834
195	178.4765841
196	177.9017117
197	177.8879732
198	177.4888104
199	176.5804345
200	176.4911174
201	175.8507544
202	175.7103206
203	175.6630897
204	175.3562407
205	175.0058109
206	174.8653432
207	174.5122545
208	173.6203963
209	173.4115296
210	173.3954418
211	172.9145257
212	172.8807918
213	172.3450064
214	172.2649574
215	172.2480145
216	171.7871297
217	171.7721849
218	171.7275042
219	171.2246183
220	171.0732476
221	170.7936458
222	170.2397194
223	170.1264717
224	169.4354235
225	169.3759636
226	168.9586818
227	168.6707893
228	168.5808351
229	168.5518416
230	168.2928207
231	168.2829643
232	168.2656014
233	168.1959113
234	167.7842965
235	167.7695265
