iter	Passed	Remaining
0	143	71625
1	145	36258
2	147	24501
3	150	18604
4	152	15074
5	154	12726
6	156	11030
7	158	9765
8	160	8773
9	163	7989
10	165	7348
11	167	6801
12	169	6347
13	171	5948
14	173	5601
15	175	5299
16	177	5034
17	179	4794
18	181	4583
19	183	4396
20	185	4224
21	187	4067
22	189	3924
23	191	3792
24	193	3672
25	195	3557
26	197	3456
27	199	3357
28	201	3276
29	203	3191
30	206	3118
31	208	3051
32	210	2984
33	213	2922
34	215	2859
35	217	2806
36	219	2750
37	221	2695
38	223	2643
39	225	2595
40	227	2548
41	229	2508
42	232	2467
43	234	2426
44	236	2386
45	237	2348
46	239	2312
47	241	2277
48	243	2243
49	245	2211
50	247	2180
51	249	2151
52	251	2122
53	253	2095
54	255	2069
55	257	2042
56	259	2017
57	261	1993
58	263	1973
59	265	1950
60	268	1930
61	270	1910
62	272	1890
63	274	1871
64	276	1852
65	278	1833
66	280	1815
67	282	1796
68	284	1779
69	286	1762
70	288	1745
71	290	1729
72	293	1714
73	295	1698
74	297	1683
75	298	1667
76	301	1653
77	303	1639
78	304	1624
79	306	1611
80	308	1598
81	311	1587
82	314	1577
83	316	1568
84	318	1557
85	321	1546
86	323	1534
87	325	1522
88	327	1510
89	329	1499
90	331	1488
91	333	1478
92	335	1466
93	337	1456
94	339	1445
95	341	1435
96	343	1425
97	345	1415
98	346	1405
99	348	1395
100	350	1386
101	352	1377
102	355	1368
103	357	1359
104	359	1351
105	361	1342
106	363	1334
107	365	1325
108	367	1317
109	369	1308
110	371	1301
111	373	1293
112	375	1287
113	377	1279
114	379	1271
115	381	1264
116	383	1256
117	385	1249
118	387	1241
119	390	1235
120	392	1229
121	394	1222
122	396	1216
123	399	1210
124	401	1203
125	403	1197
126	405	1191
127	407	1184
128	409	1178
129	411	1171
130	413	1164
131	415	1158
132	417	1152
133	419	1146
134	421	1139
135	423	1133
136	425	1127
137	427	1121
138	429	1115
139	431	1109
140	433	1102
141	435	1096
142	436	1090
143	438	1084
144	440	1078
145	442	1073
146	444	1067
147	446	1062
148	448	1056
149	450	1050
150	452	1045
151	454	1039
152	455	1034
153	457	1028
154	459	1023
155	461	1018
156	463	1013
157	465	1008
158	467	1003
159	469	998
160	471	993
161	473	988
162	475	983
163	477	978
164	479	974
165	481	969
166	483	964
167	485	960
168	487	955
169	490	951
170	492	946
171	493	941
172	495	937
173	497	932
174	500	928
175	502	924
176	504	920
177	506	916
178	508	912
179	510	907
180	512	903
181	514	899
182	517	896
183	519	892
184	522	889
185	524	885
186	526	881
187	529	877
188	531	874
189	533	870
190	535	865
191	537	861
192	538	857
193	540	853
194	542	849
195	544	845
196	547	841
197	549	837
198	550	833
199	552	829
200	554	825
201	556	821
202	558	817
203	561	814
204	563	810
205	565	807
206	567	803
207	569	799
208	571	795
209	573	791
210	575	788
211	577	784
212	579	780
213	580	776
214	583	772
215	584	769
216	587	765
217	588	761
218	590	758
219	592	754
220	594	750
221	596	747
222	598	743
223	600	740
224	602	736
225	604	732
226	606	729
227	608	725
228	610	722
229	612	719
230	614	715
231	616	712
232	618	708
233	620	705
234	622	701
235	624	698
236	627	695
237	629	692
238	631	689
239	633	686
240	635	683
241	637	679
242	639	676
243	641	672
244	643	669
245	645	666
246	647	662
247	648	659
248	650	655
249	652	652
250	654	649
251	656	645
252	657	642
253	659	639
254	661	635
255	663	632
256	665	629
257	667	626
258	669	623
259	671	620
260	674	617
261	676	614
262	678	611
263	680	608
264	683	605
265	685	602
266	687	599
267	689	596
268	691	593
269	693	590
270	695	587
271	696	584
272	698	581
273	700	578
274	702	575
275	705	572
276	706	569
277	709	566
278	711	563
279	713	560
280	715	557
281	717	554
282	719	551
283	721	548
284	723	545
285	725	542
286	727	539
287	729	536
288	731	533
289	733	530
290	735	528
291	737	525
292	739	522
293	741	519
294	743	516
295	745	514
296	747	511
297	750	508
298	751	505
299	753	502
300	755	499
301	757	496
302	759	493
303	761	490
304	763	487
305	764	484
306	766	482
307	768	479
308	770	476
309	772	473
310	774	470
311	776	467
312	778	465
313	780	462
314	782	459
315	784	456
316	786	454
317	788	451
318	791	449
319	793	446
320	795	443
321	797	441
322	799	438
323	801	435
324	803	432
325	805	429
326	807	427
327	809	424
328	811	421
329	812	418
330	814	415
331	816	413
332	818	410
333	820	407
334	822	404
335	824	402
336	826	399
337	828	396
338	829	394
339	831	391
340	833	388
341	835	386
342	837	383
343	839	380
344	842	378
345	844	375
346	846	373
347	848	370
348	850	367
349	852	365
350	854	362
351	856	360
352	858	357
353	860	354
354	860	351
355	862	348
356	864	346
357	866	343
358	868	340
359	870	338
360	872	335
361	874	333
362	876	330
363	878	328
364	880	325
365	882	322
366	884	320
367	885	317
368	887	315
369	889	312
370	891	309
371	893	307
372	895	304
373	897	302
374	899	299
375	902	297
376	905	295
377	907	292
378	909	290
379	912	288
380	914	285
381	916	282
382	918	280
383	920	277
384	922	275
385	924	272
386	926	270
387	928	267
388	929	265
389	931	262
390	933	260
391	935	257
392	937	255
393	939	252
394	942	250
395	944	247
396	946	245
397	948	243
398	950	240
399	952	238
400	954	235
401	956	233
402	958	230
403	959	228
404	961	225
405	963	223
406	965	220
407	967	218
408	968	215
409	970	213
410	972	210
411	974	208
412	976	205
413	978	203
414	980	200
415	982	198
416	984	195
417	986	193
418	988	191
419	989	188
420	991	186
421	993	183
422	995	181
423	997	178
424	999	176
425	1001	173
426	1003	171
427	1005	169
428	1007	166
429	1009	164
430	1011	161
431	1013	159
432	1015	157
433	1017	154
434	1019	152
435	1020	149
436	1022	147
437	1024	145
438	1026	142
439	1028	140
440	1030	137
441	1032	135
442	1034	133
443	1036	130
444	1038	128
445	1040	125
446	1040	123
447	1042	121
448	1044	118
449	1046	116
450	1048	113
451	1050	111
452	1052	109
453	1054	106
454	1056	104
455	1058	102
456	1060	99
457	1062	97
458	1064	95
459	1066	92
460	1068	90
461	1070	88
462	1072	85
463	1074	83
464	1076	81
465	1078	78
466	1080	76
467	1082	74
468	1084	71
469	1086	69
470	1088	67
471	1090	64
472	1092	62
473	1094	60
474	1096	57
475	1098	55
476	1100	53
477	1102	50
478	1104	48
479	1106	46
480	1108	43
481	1110	41
482	1112	39
483	1114	36
484	1117	34
485	1119	32
486	1121	29
487	1123	27
488	1125	25
489	1127	23
490	1128	20
491	1130	18
492	1132	16
493	1134	13
494	1136	11
495	1138	9
496	1140	6
497	1142	4
498	1144	2
499	1146	0
