id,laptop_ID,Company,Product,TypeName,Inches,Ram,Gpu,OpSys,Price_euros,Pantalla,Touchscreen,Marca_Procesador,Modelo_Procesador,Velocidad_Procesador,SSD,HDD,Flash Storage,Hybrid,Peso_KG
268,1002,Dell,Inspiron 5567,Notebook,15.6,8GB,AMD Radeon R7 M445,Windows 10,749.0,WXGA,No,Intel,Core i7,2.7GHz,0 GB,1 TB,0 GB,0 GB,2.36
347,867,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,4GB,Intel HD Graphics 505,Windows 10,449.0,WXGA,No,Intel,Pentium Quad Core,1.1GHz,0 GB,1 TB,0 GB,0 GB,2.0
353,966,Toshiba,Portege Z30-C-1CW,Notebook,13.3,8GB,Intel HD Graphics 520,Windows 7,1460.0,FHD,No,Intel,Core i5,2.3GHz,256 GB,0 GB,0 GB,0 GB,1.2
578,767,Dell,Alienware 17,Gaming,15.6,16GB,Nvidia GeForce GTX 1070,Windows 10,2868.99,4K,No,Intel,Core i7,2.8GHz,256 GB,1 TB,0 GB,0 GB,4.42
42,1241,Dell,Latitude E7270,Ultrabook,12.5,8GB,Intel HD Graphics 520,Windows 7,1713.37,FHD,Yes,Intel,Core i5,2.4GHz,256 GB,0 GB,0 GB,0 GB,1.26
867,376,Asus,ZenBook Flip,2 in 1 Convertible,15.6,12GB,Nvidia GeForce GT 940MX,Windows 10,1099.0,FHD,Yes,Intel,Core i7,2.7GHz,512 GB,2 TB,0 GB,0 GB,2.26
1136,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4GB,Intel HD Graphics 520,Linux,415.0,FHD,No,Intel,Core i3,2GHz,256 GB,0 GB,0 GB,0 GB,2.0
609,1157,MSI,GP62M 7RDX,Gaming,15.6,8GB,Nvidia GeForce GTX 1050,Windows 10,1142.8,FHD,No,Intel,Core i7,2.8GHz,128 GB,1 TB,0 GB,0 GB,2.4
474,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8GB,Nvidia GeForce 940MX,Windows 10,1193.0,FHD,No,Intel,Core i7,2.7GHz,256 GB,0 GB,0 GB,0 GB,1.3
838,1263,Asus,Rog GL553VE-FY052T,Gaming,15.6,16GB,Nvidia GeForce GTX 1050 Ti,Windows 10,1600.0,FHD,No,Intel,Core i7,2.8GHz,256 GB,1 TB,0 GB,0 GB,2.5
851,1243,Asus,X540SA-RBPDN09 (N3710/4GB/1TB/W10),Notebook,15.6,4GB,Intel HD Graphics 405,Windows 10,309.0,WXGA,No,Intel,Pentium Quad Core,1.6GHz,0 GB,1 TB,0 GB,0 GB,2.65
904,79,Dell,Inspiron 5570,Notebook,15.6,8GB,Intel UHD Graphics 620,Windows 10,855.0,FHD,No,Intel,Core i7,1.8GHz,128 GB,1 TB,0 GB,0 GB,2.02
355,957,Toshiba,Tecra A50-C-1ZV,Notebook,15.6,8GB,Intel HD Graphics 520,Windows 10,1119.0,WXGA,No,Intel,Core i5,2.3GHz,256 GB,0 GB,0 GB,0 GB,2.2
44,579,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,6GB,AMD Radeon 530,Windows 10,649.0,FHD,No,AMD,A9-Series,3GHz,256 GB,0 GB,0 GB,0 GB,1.95
