id,laptop_ID,Company,Product,TypeName,Inches,Gpu,Price_euros,Pantalla,Marca_Procesador,Modelo_Procesador,SSD,HDD,Flash Storage,Hybrid,Categoria_Peso,Velocidad_Procesador_GHz,S.O,Ram_GB
268,1002,Dell,Inspiron 5567,Notebook,15.6,AMD Radeon R7 M445,749.0,WXGA,Intel,Core i7,0 GB,1 TB,0 GB,0 GB,Medio,2.7,Windows 10,8
347,867,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,Intel HD Graphics 505,449.0,WXGA,Intel,Pentium Quad Core,0 GB,1 TB,0 GB,0 GB,Medio,1.1,Windows 10,4
353,966,Toshiba,Portege Z30-C-1CW,Notebook,13.3,Intel HD Graphics 520,1460.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.3,Windows 7,8
578,767,Dell,Alienware 17,Gaming,15.6,Nvidia GeForce GTX 1070,2868.99,4K,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Pesado,2.8,Windows 10,16
42,1241,Dell,Latitude E7270,Ultrabook,12.5,Intel HD Graphics 520,1713.37,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.4,Windows 7,8
867,376,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Nvidia GeForce GT 940MX,1099.0,FHD,Intel,Core i7,512 GB,2 TB,0 GB,0 GB,Medio,2.7,Windows 10,12
1136,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Intel HD Graphics 520,415.0,FHD,Intel,Core i3,256 GB,0 GB,0 GB,0 GB,Medio,2.0,Linux,4
609,1157,MSI,GP62M 7RDX,Gaming,15.6,Nvidia GeForce GTX 1050,1142.8,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,8
474,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Nvidia GeForce 940MX,1193.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,8
838,1263,Asus,Rog GL553VE-FY052T,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,1600.0,FHD,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,16
851,1243,Asus,X540SA-RBPDN09 (N3710/4GB/1TB/W10),Notebook,15.6,Intel HD Graphics 405,309.0,WXGA,Intel,Pentium Quad Core,0 GB,1 TB,0 GB,0 GB,Pesado,1.6,Windows 10,4
904,79,Dell,Inspiron 5570,Notebook,15.6,Intel UHD Graphics 620,855.0,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Medio,1.8,Windows 10,8
355,957,Toshiba,Tecra A50-C-1ZV,Notebook,15.6,Intel HD Graphics 520,1119.0,WXGA,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.3,Windows 10,8
44,579,HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,Notebook,15.6,AMD Radeon 530,649.0,FHD,AMD,A9-Series,256 GB,0 GB,0 GB,0 GB,Medio,3.0,Windows 10,6
36,834,Toshiba,Satellite Pro,Notebook,14.0,Intel HD Graphics 510,499.0,WXGA,Intel,Pentium Dual Core,128 GB,0 GB,0 GB,0 GB,Medio,2.1,Windows 10,4
971,82,Dell,Latitude 5590,Ultrabook,15.6,Intel UHD Graphics 620,1096.16,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,1.6,Windows 10,8
938,159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,Intel HD Graphics 620,629.0,FHD,Intel,Core i3,256 GB,0 GB,0 GB,0 GB,Medio,2.4,Windows 10,4
718,332,Acer,Aspire E5-575,Notebook,15.6,Intel HD Graphics 620,549.0,WXGA,Intel,Core i5,0 GB,1 TB,0 GB,0 GB,Medio,2.5,Windows 10,6
