id,laptop_ID,Company,Inches,Gpu,Price_euros,Pantalla,Marca_Procesador,Modelo_Procesador,SSD,HDD,Flash Storage,Hybrid,Categoria_Peso,Velocidad_Procesador_GHz,S.O,Ram_GB,Tipo_Portatil,Nombre_Producto
268,1002,Dell,15.6,AMD Radeon R7 M445,749.0,WXGA,Intel,Core i7,0 GB,1 TB,0 GB,0 GB,Medio,2.7,Windows 10,8,Notebook,Inspiron 5567
347,867,Asus,15.6,Intel HD Graphics 505,449.0,WXGA,Intel,Pentium Quad Core,0 GB,1 TB,0 GB,0 GB,Medio,1.1,Windows 10,4,Notebook,X541NA
353,966,Toshiba,13.3,Intel HD Graphics 520,1460.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.3,Windows 7,8,Notebook,Portege Z30-C-1CW
578,767,Dell,15.6,Nvidia GeForce GTX 1070,2868.99,4K,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Pesado,2.8,Windows 10,16,Gaming,Alienware 17
42,1241,Dell,12.5,Intel HD Graphics 520,1713.37,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Ligero,2.4,Windows 7,8,Ultrabook,Latitude E7270
867,376,Asus,15.6,Nvidia GeForce GT 940MX,1099.0,FHD,Intel,Core i7,512 GB,2 TB,0 GB,0 GB,Medio,2.7,Windows 10,12,Convertible,ZenBook Flip
1136,60,Asus,15.6,Intel HD Graphics 520,415.0,FHD,Intel,Core i3,256 GB,0 GB,0 GB,0 GB,Medio,2.0,Linux,4,Notebook,X541UA-DM1897
609,1157,MSI,15.6,Nvidia GeForce GTX 1050,1142.8,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,8,Gaming,GP62M 7RDX
474,110,Asus,14.0,Nvidia GeForce 940MX,1193.0,FHD,Intel,Core i7,256 GB,0 GB,0 GB,0 GB,Ligero,2.7,Windows 10,8,Ultrabook,UX430UQ-GV209R
838,1263,Asus,15.6,Nvidia GeForce GTX 1050 Ti,1600.0,FHD,Intel,Core i7,256 GB,1 TB,0 GB,0 GB,Medio,2.8,Windows 10,16,Gaming,Rog GL553VE-FY052T
851,1243,Asus,15.6,Intel HD Graphics 405,309.0,WXGA,Intel,Pentium Quad Core,0 GB,1 TB,0 GB,0 GB,Pesado,1.6,Windows 10,4,Notebook,X540SA-RBPDN09
904,79,Dell,15.6,Intel UHD Graphics 620,855.0,FHD,Intel,Core i7,128 GB,1 TB,0 GB,0 GB,Medio,1.8,Windows 10,8,Notebook,Inspiron 5570
355,957,Toshiba,15.6,Intel HD Graphics 520,1119.0,WXGA,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,2.3,Windows 10,8,Notebook,Tecra A50-C-1ZV
44,579,HP,15.6,AMD Radeon 530,649.0,FHD,AMD,A9-Series,256 GB,0 GB,0 GB,0 GB,Medio,3.0,Windows 10,6,Notebook,15-cd005nv
36,834,Toshiba,14.0,Intel HD Graphics 510,499.0,WXGA,Intel,Pentium Dual Core,128 GB,0 GB,0 GB,0 GB,Medio,2.1,Windows 10,4,Notebook,Satellite Pro
971,82,Dell,15.6,Intel UHD Graphics 620,1096.16,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Medio,1.6,Windows 10,8,Ultrabook,Latitude 5590
938,159,Lenovo,14.0,Intel HD Graphics 620,629.0,FHD,Intel,Core i3,256 GB,0 GB,0 GB,0 GB,Medio,2.4,Windows 10,4,Convertible,Yoga 520-14IKB
718,332,Acer,15.6,Intel HD Graphics 620,549.0,WXGA,Intel,Core i5,0 GB,1 TB,0 GB,0 GB,Medio,2.5,Windows 10,6,Notebook,Aspire E5-575
518,617,Lenovo,15.6,Nvidia Quadro M2200M,4899.0,4K,Intel,Xeon E3-1535M,1 TB,0 GB,0 GB,0 GB,Medio,3.1,Windows 10,32,Notebook,Thinkpad P51
1126,172,Acer,17.3,Nvidia GeForce MX150,854.0,FHD,Intel,Core i5,256 GB,0 GB,0 GB,0 GB,Pesado,1.6,Windows 10,8,Notebook,Aspire A517-51G
51,1097,Lenovo,10.1,Intel HD Graphics 400,646.27,IPS,Intel,Atom x5,0 GB,0 GB,64 GB,0 GB,Ligero,1.44,Windows 10,4,Convertible,Yoga Book
772,717,HP,17.3,AMD Radeon 530,655.01,FHD,AMD,A10-Series,0 GB,2 TB,0 GB,0 GB,Pesado,2.5,Windows 10,6,Notebook,17-ak002nv
