id,laptop_ID,Company,Gpu,Price_euros,Pantalla,Marca_Procesador,Modelo_Procesador,Categoria_Peso,Velocidad_Procesador_GHz,S.O,Ram_GB,Tipo_Portatil,Nombre_Producto,Total_Almacenamiento
268,1002,Dell,AMD Radeon R7 M445,749.0,WXGA,Intel,Core i7,Medio,2.7,Windows 10,8,Notebook,Inspiron 5567,2048.0
347,867,Asus,Intel HD Graphics 505,449.0,WXGA,Intel,Pentium Quad Core,Medio,1.1,Windows 10,4,Notebook,X541NA,2048.0
353,966,Toshiba,Intel HD Graphics 520,1460.0,FHD,Intel,Core i5,Ligero,2.3,Windows 7,8,Notebook,Portege Z30-C-1CW,1024.0
578,767,Dell,Nvidia GeForce GTX 1070,2868.99,4K,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,Alienware 17,3072.0
42,1241,Dell,Intel HD Graphics 520,1713.37,FHD,Intel,Core i5,Ligero,2.4,Windows 7,8,Ultrabook,Latitude E7270,1024.0
867,376,Asus,Nvidia GeForce GT 940MX,1099.0,FHD,Intel,Core i7,Medio,2.7,Windows 10,12,Convertible,ZenBook Flip,6144.0
1136,60,Asus,Intel HD Graphics 520,415.0,FHD,Intel,Core i3,Medio,2.0,Linux,4,Notebook,X541UA-DM1897,1024.0
609,1157,MSI,Nvidia GeForce GTX 1050,1142.8,FHD,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,GP62M 7RDX,2560.0
474,110,Asus,Nvidia GeForce 940MX,1193.0,FHD,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,UX430UQ-GV209R,1024.0
838,1263,Asus,Nvidia GeForce GTX 1050 Ti,1600.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,16,Gaming,Rog GL553VE-FY052T,3072.0
851,1243,Asus,Intel HD Graphics 405,309.0,WXGA,Intel,Pentium Quad Core,Pesado,1.6,Windows 10,4,Notebook,X540SA-RBPDN09,2048.0
904,79,Dell,Intel UHD Graphics 620,855.0,FHD,Intel,Core i7,Medio,1.8,Windows 10,8,Notebook,Inspiron 5570,2560.0
355,957,Toshiba,Intel HD Graphics 520,1119.0,WXGA,Intel,Core i5,Medio,2.3,Windows 10,8,Notebook,Tecra A50-C-1ZV,1024.0
44,579,HP,AMD Radeon 530,649.0,FHD,AMD,A9-Series,Medio,3.0,Windows 10,6,Notebook,15-cd005nv,1024.0
36,834,Toshiba,Intel HD Graphics 510,499.0,WXGA,Intel,Pentium Dual Core,Medio,2.1,Windows 10,4,Notebook,Satellite Pro,512.0
971,82,Dell,Intel UHD Graphics 620,1096.16,FHD,Intel,Core i5,Medio,1.6,Windows 10,8,Ultrabook,Latitude 5590,1024.0
938,159,Lenovo,Intel HD Graphics 620,629.0,FHD,Intel,Core i3,Medio,2.4,Windows 10,4,Convertible,Yoga 520-14IKB,1024.0
718,332,Acer,Intel HD Graphics 620,549.0,WXGA,Intel,Core i5,Medio,2.5,Windows 10,6,Notebook,Aspire E5-575,2048.0
518,617,Lenovo,Nvidia Quadro M2200M,4899.0,4K,Intel,Xeon E3-1535M,Medio,3.1,Windows 10,32,Notebook,Thinkpad P51,4096.0
1126,172,Acer,Nvidia GeForce MX150,854.0,FHD,Intel,Core i5,Pesado,1.6,Windows 10,8,Notebook,Aspire A517-51G,1024.0
51,1097,Lenovo,Intel HD Graphics 400,646.27,IPS,Intel,Atom x5,Ligero,1.44,Windows 10,4,Convertible,Yoga Book,64.0
772,717,HP,AMD Radeon 530,655.01,FHD,AMD,A10-Series,Pesado,2.5,Windows 10,6,Notebook,17-ak002nv,4096.0
1001,814,HP,Intel HD Graphics 620,1389.0,WXGA,Intel,Core i5,Ligero,2.6,Windows 10,8,Netbook,EliteBook 820,1024.0
330,202,HP,Nvidia GeForce GTX 1050,1379.0,FHD,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,Omen 17-W295,3072.0
66,405,Dell,Nvidia Quadro M1200,2712.0,4K,Intel,Core i7,Medio,2.8,Windows 10,8,Workstation,Precision M5520,1024.0
829,41,Asus,Intel HD Graphics 620,389.0,FHD,Intel,Core i3,Medio,2.0,Linux,4,Notebook,X540UA-DM186,2048.0
1129,741,Acer,Intel HD Graphics 620,559.0,WXGA,Intel,Core i5,Medio,2.5,Windows 10,4,Notebook,Extensa EX2540-58KR,1000.0
1197,983,Lenovo,Nvidia GeForce 920MX,695.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,6,Notebook,IdeaPad 310-15IKB,1024.0
171,407,Lenovo,Intel HD Graphics 500,306.0,WXGA,Intel,Celeron Dual Core,Medio,1.1,Windows 10,4,Notebook,IdeaPad 320-15IAP,2048.0
233,323,HP,Intel HD Graphics 620,980.0,FHD,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,ProBook 640,1024.0
205,166,Dell,AMD Radeon 520,728.0,FHD,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,Inspiron 3576,1024.0
361,309,Asus,Nvidia GeForce GTX 1050 Ti,1265.0,FHD,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,GL553VE-FY082T,2560.0
1250,1276,Lenovo,AMD Radeon R5 M330,895.0,FHD,Intel,Core i7,Medio,2.5,Windows 7,8,Notebook,B51-80,3072.0
707,910,Dell,AMD Radeon R5 M420X,614.0,WXGA,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Vostro 3568,2048.0
884,919,Acer,Intel HD Graphics,359.0,FHD,Intel,Celeron Dual Core,Medio,1.5,Chrome OS,4,Notebook,Chromebook CB5-571-C1DZ,16.0
1071,1258,Lenovo,AMD Radeon 530,597.57,FHD,AMD,A12-Series,Medio,3.6,Windows 10,6,Notebook,IdeaPad 320-15ABR,1024.0
95,895,Dell,Intel HD Graphics,369.0,WXGA,Intel,Pentium Quad Core,Medio,1.6,Windows 10,4,Notebook,Inspiron 3552,1000.0
745,1190,Asus,Intel HD Graphics,369.0,WXGA,Intel,Celeron Dual Core,Medio,1.6,Windows 10,4,Notebook,X553SA-XX021T,1000.0
