id,laptop_ID,Company,Inches,Price_euros,Pantalla,Touchscreen,Marca_Procesador,Modelo_Procesador,Categoria_Peso,Velocidad_Procesador_GHz,S.O,Ram_GB,Tipo_Portatil,Nombre_Producto,Total_Almacenamiento,Marca_GPU,Modelo_GPU,Tipo_GPU
268,1002,Dell,15.6,749.0,WXGA,No,Intel,Core i7,Medio,2.7,Windows 10,8,Notebook,Inspiron 5567,2048.0,AMD,R7 M445,Radeon
347,867,Asus,15.6,449.0,WXGA,No,Intel,Pentium Quad Core,Medio,1.1,Windows 10,4,Notebook,X541NA,2048.0,Intel,505,HD Graphics
353,966,Toshiba,13.3,1460.0,FHD,No,Intel,Core i5,Ligero,2.3,Windows 7,8,Notebook,Portege Z30-C-1CW,1024.0,Intel,520,HD Graphics
578,767,Dell,15.6,2868.99,4K,No,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,Alienware 17,3072.0,Nvidia,GTX 1070,GeForce
42,1241,Dell,12.5,1713.37,FHD,Yes,Intel,Core i5,Ligero,2.4,Windows 7,8,Ultrabook,Latitude E7270,1024.0,Intel,520,HD Graphics
867,376,Asus,15.6,1099.0,FHD,Yes,Intel,Core i7,Medio,2.7,Windows 10,12,Convertible,ZenBook Flip,6144.0,Nvidia,GT 940MX,GeForce
1136,60,Asus,15.6,415.0,FHD,No,Intel,Core i3,Medio,2.0,Linux,4,Notebook,X541UA-DM1897,1024.0,Intel,520,HD Graphics
609,1157,MSI,15.6,1142.8,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,GP62M 7RDX,2560.0,Nvidia,GTX 1050,GeForce
474,110,Asus,14.0,1193.0,FHD,No,Intel,Core i7,Ligero,2.7,Windows 10,8,Ultrabook,UX430UQ-GV209R,1024.0,Nvidia,940MX,GeForce
838,1263,Asus,15.6,1600.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,16,Gaming,Rog GL553VE-FY052T,3072.0,Nvidia,GTX 1050 Ti,GeForce
851,1243,Asus,15.6,309.0,WXGA,No,Intel,Pentium Quad Core,Pesado,1.6,Windows 10,4,Notebook,X540SA-RBPDN09,2048.0,Intel,405,HD Graphics
904,79,Dell,15.6,855.0,FHD,No,Intel,Core i7,Medio,1.8,Windows 10,8,Notebook,Inspiron 5570,2560.0,Intel,620,UHD Graphics
355,957,Toshiba,15.6,1119.0,WXGA,No,Intel,Core i5,Medio,2.3,Windows 10,8,Notebook,Tecra A50-C-1ZV,1024.0,Intel,520,HD Graphics
44,579,HP,15.6,649.0,FHD,No,AMD,A9-Series,Medio,3.0,Windows 10,6,Notebook,15-cd005nv,1024.0,AMD,530,Radeon
36,834,Toshiba,14.0,499.0,WXGA,No,Intel,Pentium Dual Core,Medio,2.1,Windows 10,4,Notebook,Satellite Pro,512.0,Intel,510,HD Graphics
971,82,Dell,15.6,1096.16,FHD,No,Intel,Core i5,Medio,1.6,Windows 10,8,Ultrabook,Latitude 5590,1024.0,Intel,620,UHD Graphics
938,159,Lenovo,14.0,629.0,FHD,Yes,Intel,Core i3,Medio,2.4,Windows 10,4,Convertible,Yoga 520-14IKB,1024.0,Intel,620,HD Graphics
718,332,Acer,15.6,549.0,WXGA,No,Intel,Core i5,Medio,2.5,Windows 10,6,Notebook,Aspire E5-575,2048.0,Intel,620,HD Graphics
518,617,Lenovo,15.6,4899.0,4K,No,Intel,Xeon E3-1535M,Medio,3.1,Windows 10,32,Notebook,Thinkpad P51,4096.0,Nvidia,M2200M,Quadro
1126,172,Acer,17.3,854.0,FHD,No,Intel,Core i5,Pesado,1.6,Windows 10,8,Notebook,Aspire A517-51G,1024.0,Nvidia,MX150,GeForce
51,1097,Lenovo,10.1,646.27,IPS,Yes,Intel,Atom x5,Ligero,1.44,Windows 10,4,Convertible,Yoga Book,64.0,Intel,400,HD Graphics
772,717,HP,17.3,655.01,FHD,No,AMD,A10-Series,Pesado,2.5,Windows 10,6,Notebook,17-ak002nv,4096.0,AMD,530,Radeon
1001,814,HP,12.5,1389.0,WXGA,No,Intel,Core i5,Ligero,2.6,Windows 10,8,Netbook,EliteBook 820,1024.0,Intel,620,HD Graphics
330,202,HP,17.3,1379.0,FHD,No,Intel,Core i7,Pesado,2.8,Windows 10,16,Gaming,Omen 17-W295,3072.0,Nvidia,GTX 1050,GeForce
66,405,Dell,15.6,2712.0,4K,Yes,Intel,Core i7,Medio,2.8,Windows 10,8,Workstation,Precision M5520,1024.0,Nvidia,M1200,Quadro
829,41,Asus,15.6,389.0,FHD,No,Intel,Core i3,Medio,2.0,Linux,4,Notebook,X540UA-DM186,2048.0,Intel,620,HD Graphics
1129,741,Acer,15.6,559.0,WXGA,No,Intel,Core i5,Medio,2.5,Windows 10,4,Notebook,Extensa EX2540-58KR,1000.0,Intel,620,HD Graphics
1197,983,Lenovo,15.6,695.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,6,Notebook,IdeaPad 310-15IKB,1024.0,Nvidia,920MX,GeForce
171,407,Lenovo,15.6,306.0,WXGA,No,Intel,Celeron Dual Core,Medio,1.1,Windows 10,4,Notebook,IdeaPad 320-15IAP,2048.0,Intel,500,HD Graphics
233,323,HP,14.0,980.0,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Notebook,ProBook 640,1024.0,Intel,620,HD Graphics
205,166,Dell,15.6,728.0,FHD,No,Intel,Core i5,Medio,1.6,Windows 10,8,Notebook,Inspiron 3576,1024.0,AMD,520,Radeon
361,309,Asus,15.6,1265.0,FHD,No,Intel,Core i7,Medio,2.8,Windows 10,8,Gaming,GL553VE-FY082T,2560.0,Nvidia,GTX 1050 Ti,GeForce
1250,1276,Lenovo,15.6,895.0,FHD,No,Intel,Core i7,Medio,2.5,Windows 7,8,Notebook,B51-80,3072.0,AMD,R5 M330,Radeon
707,910,Dell,15.6,614.0,WXGA,No,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Vostro 3568,2048.0,AMD,R5 M420X,Radeon
884,919,Acer,15.6,359.0,FHD,No,Intel,Celeron Dual Core,Medio,1.5,Chrome OS,4,Notebook,Chromebook CB5-571-C1DZ,16.0,Intel,Otro,HD Graphics
1071,1258,Lenovo,15.6,597.57,FHD,No,AMD,A12-Series,Medio,3.6,Windows 10,6,Notebook,IdeaPad 320-15ABR,1024.0,AMD,530,Radeon
95,895,Dell,15.6,369.0,WXGA,No,Intel,Pentium Quad Core,Medio,1.6,Windows 10,4,Notebook,Inspiron 3552,1000.0,Intel,Otro,HD Graphics
745,1190,Asus,15.6,369.0,WXGA,No,Intel,Celeron Dual Core,Medio,1.6,Windows 10,4,Notebook,X553SA-XX021T,1000.0,Intel,Otro,HD Graphics
899,37,Acer,15.6,367.0,WXGA,No,Intel,Core i3,Medio,2.7,Linux,4,Notebook,Aspire 3,2048.0,Intel,620,HD Graphics
313,333,Asus,15.6,1049.9,FHD,No,Intel,Core i7,Medio,2.7,Windows 10,8,Ultrabook,VivoBook S15,1024.0,Nvidia,940MX,GeForce
1063,933,MSI,15.6,1119.91,FHD,No,Intel,Core i5,Medio,2.5,Windows 10,8,Gaming,GL62M 7RD,2560.0,Nvidia,GTX 1050,GeForce
193,1066,Dell,15.6,1094.0,FHD,Yes,Intel,Core i5,Medio,2.7,Windows 10,8,Convertible,Inspiron 5578,1024.0,Intel,620,HD Graphics
625,25,HP,15.6,659.0,FHD,No,Intel,Core i7,Medio,1.8,Windows 10,8,Ultrabook,15-BS101nv,1024.0,Intel,620,HD Graphics
142,429,HP,15.6,1427.0,FHD,No,Intel,Core i7,Medio,2.9,Windows 10,8,Notebook,ProBook 650,1024.0,Intel,630,HD Graphics
243,685,HP,11.6,495.0,WXGA,Yes,Intel,Celeron Dual Core,Ligero,1.1,Chrome OS,8,Convertible,Chromebook X360,64.0,Intel,500,HD Graphics
1214,341,HP,14.0,1268.0,FHD,No,Intel,Core i5,Ligero,2.6,Windows 10,8,Notebook,EliteBook 840,1024.0,Intel,620,HD Graphics
1047,26,Dell,15.6,418.64,WXGA,No,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,Inspiron 3567,2048.0,Intel,520,HD Graphics
648,882,Lenovo,15.6,479.0,FHD,No,Intel,Core i3,Medio,2.0,No OS,4,Notebook,IdeaPad 110-15ISK,2048.0,AMD,R5 M430,Radeon
34,7,Apple,15.4,2139.97,IPS,No,Intel,Core i7,Medio,2.2,Mac OS X,16,Ultrabook,MacBook Pro,256.0,Intel,Pro Graphics,Iris
804,1100,HP,14.0,1030.99,FHD,No,Intel,Core i5,Medio,2.3,Windows 7,4,Notebook,EliteBook 840,1000.0,Intel,520,HD Graphics
872,555,HP,15.6,397.0,FHD,No,Intel,Core i3,Medio,2.0,Windows 10,4,Notebook,250 G6,1000.0,Intel,520,HD Graphics
1297,1166,HP,15.6,1579.0,FHD,No,Intel,Core i5,Medio,2.3,Windows 7,8,Notebook,EliteBook 850,1024.0,Intel,520,HD Graphics
192,720,Dell,15.6,726.0,FHD,No,Intel,Core i5,Medio,2.5,Linux,8,Notebook,Vostro 5568,2048.0,Intel,620,HD Graphics
451,443,HP,15.6,347.0,WXGA,No,Intel,Celeron Dual Core,Medio,1.6,Windows 10,4,Notebook,15-ra044nv,1000.0,Intel,400,HD Graphics
894,997,Fujitsu,15.6,649.0,WXGA,No,Intel,Core i5,Medio,2.3,Windows 10,4,Notebook,LifeBook A556,1024.0,Intel,520,HD Graphics
961,1051,Toshiba,14.0,1725.0,FHD,No,Intel,Core i7,Ligero,2.6,Windows 10,8,Ultrabook,Tecra Z40-C-136,1024.0,Intel,520,HD Graphics
1168,762,Lenovo,14.0,1096.0,FHD,No,Intel,Core i5,Medio,2.3,Windows 10,4,Ultrabook,Thinkpad T460,720.0,Intel,520,HD Graphics
966,1238,Lenovo,15.6,1529.0,FHD,No,Intel,Core i7,Medio,2.6,Windows 10,8,Notebook,Thinkpad T560,1024.0,Intel,520,HD Graphics
794,633,Mediacom,14.0,239.0,FHD,No,Intel,Atom x5,Ligero,1.44,Windows 10,2,Notebook,SmartBook 140,32.0,Intel,Otro,HD Graphics
