id,Company,Nombre_Producto,Tipo_Portatil,S.O,Marca_Procesador,Modelo_Procesador,Velocidad_Procesador_GHz,Ram_GB,Total_Almacenamiento,Marca_GPU,Modelo_GPU,Tipo_GPU,Categoria_Peso,Pantalla,Touchscreen,Inches,Touchscreen,Price_euros
268,dell,inspiron,notebook,windows 10,intel,core i7,2.7,8,2048.0,amd,r7 m445,radeon,medio,wxga,no,15.6,no,749.0
347,asus,otro,notebook,windows 10,intel,pentium quad core,1.1,4,2048.0,intel,505,graphics,medio,wxga,no,15.6,no,449.0
353,toshiba,portege,notebook,windows 7,intel,core i5,2.3,8,1024.0,intel,520,graphics,ligero,fhd,no,13.3,no,1460.0
578,dell,alienware,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1070,geforce,pesado,4k,no,15.6,no,2868.99
42,dell,latitude,ultrabook,windows 7,intel,core i5,2.4,8,1024.0,intel,520,graphics,ligero,fhd,yes,12.5,yes,1713.37
867,asus,zenbook,convertible,windows 10,intel,core i7,2.7,12,6144.0,nvidia,gt 940mx,geforce,medio,fhd,yes,15.6,yes,1099.0
1136,asus,otro,notebook,linux,intel,core i3,2.0,4,1024.0,intel,520,graphics,medio,fhd,no,15.6,no,415.0
609,msi,gp62m,gaming,windows 10,intel,core i7,2.8,8,2560.0,nvidia,gtx 1050,geforce,medio,fhd,no,15.6,no,1142.8
474,asus,otro,ultrabook,windows 10,intel,core i7,2.7,8,1024.0,nvidia,940mx,geforce,ligero,fhd,no,14.0,no,1193.0
838,asus,rog,gaming,windows 10,intel,core i7,2.8,16,3072.0,nvidia,gtx 1050 ti,geforce,medio,fhd,no,15.6,no,1600.0
851,asus,otro,notebook,windows 10,intel,pentium quad core,1.6,4,2048.0,intel,405,graphics,pesado,wxga,no,15.6,no,309.0
904,dell,inspiron,notebook,windows 10,intel,core i7,1.8,8,2560.0,intel,620,uhd graphics,medio,fhd,no,15.6,no,855.0
355,toshiba,tecra,notebook,windows 10,intel,core i5,2.3,8,1024.0,intel,520,graphics,medio,wxga,no,15.6,no,1119.0
44,hp,otro,notebook,windows 10,amd,a9-series,3.0,6,1024.0,amd,530,radeon,medio,fhd,no,15.6,no,649.0
